id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
8683,Female,Loyal Customer,44,Business travel,Business,2078,2,2,2,2,3,4,5,4,4,4,4,5,4,4,0,0.0
121180,Male,Loyal Customer,33,Personal Travel,Eco,2521,1,2,2,4,2,2,1,1,5,4,3,1,3,1,24,23.0
113822,Female,Loyal Customer,14,Personal Travel,Eco Plus,236,4,5,4,5,2,4,2,2,4,4,4,3,4,2,1,0.0
120148,Male,Loyal Customer,59,Personal Travel,Eco,1475,3,4,3,4,5,3,5,5,1,1,2,2,3,5,0,0.0
22015,Male,Loyal Customer,32,Personal Travel,Eco,448,1,1,1,3,4,1,4,4,3,3,2,2,3,4,0,0.0
113227,Female,Loyal Customer,40,Business travel,Business,236,5,5,5,5,2,4,4,4,4,4,4,4,4,5,20,29.0
96561,Female,Loyal Customer,50,Business travel,Business,2696,4,4,4,4,2,4,5,5,5,5,5,3,5,3,5,21.0
74711,Male,Loyal Customer,15,Personal Travel,Eco,1235,0,5,0,5,2,0,2,2,4,5,4,3,5,2,4,1.0
14382,Female,Loyal Customer,41,Business travel,Eco,789,2,2,2,2,2,2,2,2,4,5,2,4,2,2,0,0.0
119417,Female,Loyal Customer,49,Business travel,Eco,399,5,4,4,4,2,2,4,5,5,5,5,2,5,5,0,0.0
122644,Female,disloyal Customer,34,Business travel,Business,361,2,2,2,3,5,2,2,5,5,5,4,4,5,5,7,5.0
4883,Female,Loyal Customer,57,Personal Travel,Eco,408,4,4,4,2,2,4,5,4,4,4,4,3,4,3,0,0.0
47278,Male,Loyal Customer,25,Business travel,Eco,588,0,4,0,3,5,0,5,5,4,2,2,2,3,5,0,0.0
51502,Male,disloyal Customer,58,Business travel,Eco,370,4,5,4,3,1,4,5,1,2,1,3,1,4,1,3,0.0
77722,Female,Loyal Customer,42,Business travel,Business,3912,2,2,2,2,4,4,4,5,5,5,5,3,5,4,0,0.0
21905,Male,Loyal Customer,42,Business travel,Eco,448,2,4,4,4,2,2,2,2,1,4,3,1,3,2,0,0.0
33993,Male,disloyal Customer,27,Business travel,Eco,899,3,3,3,4,4,3,1,4,3,2,5,2,5,4,0,0.0
12537,Male,Loyal Customer,38,Business travel,Business,2421,2,5,1,5,2,4,3,2,2,2,2,3,2,2,0,0.0
118170,Female,disloyal Customer,25,Business travel,Eco,1444,3,3,3,3,4,3,4,4,1,4,4,4,4,4,0,0.0
91179,Female,Loyal Customer,65,Personal Travel,Eco,594,1,4,1,5,2,4,1,3,3,1,3,2,3,2,0,1.0
33214,Female,Loyal Customer,55,Business travel,Eco Plus,102,2,2,5,2,5,4,2,2,2,2,2,2,2,3,0,0.0
29314,Female,Loyal Customer,45,Personal Travel,Eco,873,1,1,1,3,3,3,3,4,4,1,4,4,4,4,0,0.0
43130,Female,Loyal Customer,35,Business travel,Eco Plus,259,2,1,1,1,2,2,2,2,4,3,3,3,4,2,19,27.0
46260,Male,Loyal Customer,23,Personal Travel,Eco,455,4,4,2,2,5,2,5,5,4,2,4,4,4,5,1,11.0
88867,Male,disloyal Customer,35,Business travel,Business,859,2,2,2,2,4,2,5,4,3,4,4,4,5,4,0,0.0
91298,Female,Loyal Customer,28,Business travel,Business,3859,1,1,1,1,5,5,5,5,5,4,5,3,4,5,10,6.0
80105,Female,disloyal Customer,50,Business travel,Business,1198,2,2,2,2,1,2,1,1,3,4,4,4,5,1,5,0.0
35257,Male,Loyal Customer,52,Business travel,Business,3581,4,4,4,4,4,4,4,2,1,3,3,4,2,4,256,274.0
96915,Male,Loyal Customer,41,Personal Travel,Eco,1041,1,5,1,1,4,1,1,4,4,4,5,4,4,4,0,0.0
20319,Female,Loyal Customer,57,Business travel,Business,287,0,0,0,4,4,4,5,5,5,5,5,5,5,5,0,1.0
74091,Male,disloyal Customer,20,Business travel,Eco,641,2,3,2,4,5,2,3,5,3,3,3,2,3,5,0,0.0
29192,Female,Loyal Customer,59,Personal Travel,Eco Plus,605,2,3,2,1,5,3,4,2,2,2,2,2,2,5,0,0.0
43406,Male,Loyal Customer,45,Business travel,Eco Plus,347,5,4,4,4,5,5,5,5,5,5,4,5,2,5,0,0.0
82565,Female,Loyal Customer,50,Business travel,Business,3962,4,4,1,4,3,5,5,4,4,4,4,4,4,4,0,0.0
90686,Male,Loyal Customer,17,Business travel,Business,366,2,4,4,4,2,2,2,2,1,1,4,1,3,2,56,48.0
83424,Female,Loyal Customer,39,Personal Travel,Eco,632,4,3,4,4,5,4,2,5,4,2,4,1,4,5,0,0.0
17330,Female,Loyal Customer,26,Business travel,Eco Plus,403,3,2,4,4,3,3,2,3,1,4,4,4,4,3,0,7.0
106173,Male,Loyal Customer,32,Personal Travel,Eco,436,4,4,5,3,5,5,5,5,1,5,1,2,5,5,3,1.0
52830,Female,Loyal Customer,38,Business travel,Business,1721,5,5,5,5,4,5,1,2,2,2,2,3,2,2,4,0.0
92253,Female,Loyal Customer,12,Personal Travel,Eco,1670,2,0,2,1,1,2,1,1,4,4,5,4,5,1,41,18.0
91414,Female,Loyal Customer,39,Business travel,Business,1050,3,3,3,3,2,5,5,5,5,5,5,3,5,4,0,2.0
94040,Male,Loyal Customer,54,Business travel,Business,2378,2,5,2,2,3,5,5,5,5,5,5,4,5,5,11,0.0
121894,Male,Loyal Customer,64,Personal Travel,Eco,366,3,5,3,2,1,3,1,1,5,1,1,3,4,1,2,0.0
45642,Male,Loyal Customer,20,Personal Travel,Eco,260,4,3,4,2,5,4,3,5,4,3,2,3,3,5,0,0.0
121830,Male,disloyal Customer,33,Business travel,Business,337,3,3,3,5,2,3,2,2,5,4,4,4,5,2,0,0.0
67621,Female,disloyal Customer,22,Business travel,Business,1235,5,0,5,2,4,0,4,4,3,3,4,5,4,4,0,0.0
127041,Female,disloyal Customer,23,Business travel,Eco,651,5,5,5,3,3,5,3,3,4,5,5,4,4,3,0,0.0
96261,Male,Loyal Customer,51,Personal Travel,Eco,666,4,5,4,3,5,4,3,5,1,4,4,1,5,5,17,3.0
121807,Male,disloyal Customer,23,Business travel,Business,366,0,3,0,4,2,0,1,2,5,2,5,4,5,2,0,0.0
10239,Female,Loyal Customer,60,Personal Travel,Business,458,0,4,0,4,4,3,4,3,3,0,3,1,3,4,20,4.0
56922,Male,disloyal Customer,43,Business travel,Business,2454,2,2,2,1,1,2,1,1,3,5,5,4,5,1,19,0.0
115301,Female,Loyal Customer,41,Business travel,Business,1606,0,0,0,5,4,5,4,3,3,3,3,4,3,4,0,0.0
104989,Female,Loyal Customer,61,Business travel,Business,3751,2,1,1,1,1,4,3,2,2,2,2,4,2,4,29,23.0
114817,Male,Loyal Customer,41,Business travel,Business,372,5,5,4,5,2,4,4,4,4,5,4,4,4,5,25,19.0
99792,Male,Loyal Customer,31,Business travel,Business,2469,1,1,4,1,5,5,5,5,5,2,4,5,5,5,0,0.0
128008,Male,Loyal Customer,60,Personal Travel,Eco,1488,1,4,1,3,3,1,3,3,3,3,5,4,5,3,0,0.0
56321,Female,Loyal Customer,54,Business travel,Business,2257,0,4,0,4,2,4,5,5,5,5,5,5,5,4,0,0.0
4895,Female,Loyal Customer,27,Business travel,Business,3539,3,5,5,5,3,3,3,3,2,4,2,4,3,3,0,0.0
129159,Female,Loyal Customer,48,Business travel,Business,954,1,1,5,1,5,4,4,5,5,5,5,5,5,3,0,0.0
3458,Female,disloyal Customer,58,Business travel,Business,315,2,2,2,4,5,2,5,5,3,3,4,5,5,5,73,75.0
18564,Male,Loyal Customer,66,Business travel,Eco,190,3,2,2,2,3,3,3,3,3,1,3,1,4,3,0,0.0
64302,Male,Loyal Customer,48,Business travel,Business,3161,3,3,3,3,5,4,5,4,4,4,4,4,4,4,0,0.0
31233,Male,Loyal Customer,27,Business travel,Business,1960,5,5,5,5,4,4,4,4,4,2,1,2,3,4,0,0.0
12859,Female,Loyal Customer,51,Business travel,Eco Plus,817,2,5,5,5,5,5,3,2,2,2,2,1,2,4,1,0.0
128256,Female,disloyal Customer,33,Business travel,Business,651,1,1,1,2,4,1,5,4,5,3,5,5,4,4,0,0.0
68199,Female,Loyal Customer,29,Business travel,Business,1684,3,3,2,3,4,4,4,4,3,5,4,4,4,4,0,0.0
82953,Male,disloyal Customer,25,Business travel,Business,1145,5,0,5,1,2,5,2,2,3,3,5,5,4,2,0,0.0
98346,Male,Loyal Customer,25,Business travel,Business,1046,4,4,4,4,4,3,4,4,2,2,3,3,3,4,20,22.0
36262,Male,Loyal Customer,55,Business travel,Eco,612,3,1,1,1,3,3,3,3,2,5,3,4,4,3,0,0.0
110305,Male,disloyal Customer,38,Business travel,Business,919,3,3,3,2,1,3,1,1,4,4,4,4,5,1,0,0.0
79811,Male,Loyal Customer,56,Business travel,Business,1096,3,3,5,3,2,5,4,5,5,5,5,4,5,4,0,0.0
51654,Male,disloyal Customer,23,Business travel,Eco,370,1,3,1,3,5,1,5,5,2,3,4,4,4,5,0,0.0
71571,Female,disloyal Customer,20,Business travel,Business,1144,4,0,4,2,2,4,2,2,5,5,5,5,5,2,75,129.0
32629,Male,disloyal Customer,20,Business travel,Eco,201,2,4,2,4,5,2,1,5,3,1,3,1,4,5,0,4.0
87049,Female,Loyal Customer,48,Business travel,Business,594,2,2,2,2,4,5,5,4,4,4,4,3,4,4,0,0.0
86952,Male,Loyal Customer,41,Business travel,Business,2668,1,1,1,1,2,5,4,3,3,3,3,4,3,3,8,9.0
81201,Female,Loyal Customer,43,Business travel,Business,1426,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,0.0
26710,Female,Loyal Customer,61,Personal Travel,Eco,406,3,4,3,3,4,5,5,5,5,3,5,4,5,5,35,47.0
102327,Male,Loyal Customer,59,Business travel,Business,1642,1,1,1,1,3,3,4,1,1,1,1,3,1,4,8,0.0
125264,Male,Loyal Customer,56,Business travel,Business,1488,4,4,4,4,2,4,4,4,4,4,4,4,4,3,73,91.0
110246,Female,Loyal Customer,22,Personal Travel,Eco,1147,0,1,0,3,3,0,3,3,2,1,2,2,3,3,0,0.0
71235,Female,Loyal Customer,38,Business travel,Business,2072,1,1,1,1,3,5,4,5,5,5,5,3,5,5,0,0.0
17558,Female,Loyal Customer,28,Business travel,Eco,1034,4,5,5,5,4,4,4,4,1,5,1,3,1,4,10,0.0
2910,Female,disloyal Customer,27,Business travel,Business,409,4,5,5,3,2,5,2,2,3,4,5,5,4,2,0,32.0
68523,Female,Loyal Customer,53,Business travel,Business,1013,1,1,1,1,5,4,4,5,5,5,5,3,5,4,0,0.0
41456,Male,Loyal Customer,31,Personal Travel,Business,1269,1,4,2,3,2,2,2,2,1,2,3,3,3,2,0,0.0
93318,Female,Loyal Customer,41,Business travel,Business,287,3,3,3,3,2,5,4,4,4,4,4,5,4,3,21,13.0
5499,Male,Loyal Customer,53,Business travel,Business,3361,2,2,2,2,3,4,4,5,5,5,5,3,5,5,0,0.0
53370,Female,disloyal Customer,45,Business travel,Eco,1452,1,2,2,3,2,1,4,2,1,3,4,2,4,2,2,30.0
68228,Female,Loyal Customer,14,Business travel,Eco,631,2,2,2,2,2,2,1,2,2,1,3,4,4,2,5,9.0
54959,Female,disloyal Customer,24,Business travel,Eco,796,3,3,3,1,1,3,1,1,4,2,3,4,5,1,8,1.0
1064,Female,Loyal Customer,31,Personal Travel,Eco,354,4,4,3,1,3,5,1,4,5,5,5,1,5,1,200,201.0
53746,Female,Loyal Customer,23,Personal Travel,Eco Plus,1208,1,5,1,3,2,1,2,2,5,5,5,2,3,2,11,16.0
30538,Male,Loyal Customer,19,Personal Travel,Eco,701,3,4,3,4,2,3,2,2,4,5,5,4,3,2,11,33.0
95471,Male,Loyal Customer,46,Business travel,Business,1727,2,2,2,2,5,5,5,4,4,4,4,4,4,3,0,0.0
70825,Male,Loyal Customer,57,Personal Travel,Eco Plus,624,1,5,0,3,1,0,1,1,3,1,2,5,3,1,0,0.0
52303,Male,Loyal Customer,50,Business travel,Eco,451,1,2,2,2,1,1,1,1,2,5,1,3,1,1,0,0.0
111162,Female,Loyal Customer,9,Personal Travel,Eco,1111,1,3,1,3,4,1,4,4,1,2,4,2,3,4,8,0.0
26929,Male,Loyal Customer,52,Personal Travel,Eco,1874,5,3,5,3,2,5,2,2,2,4,4,4,4,2,0,0.0
32058,Female,Loyal Customer,30,Business travel,Eco,121,5,2,2,2,5,5,5,5,1,1,4,2,3,5,3,2.0
124435,Female,Loyal Customer,30,Personal Travel,Eco,1044,3,4,3,4,5,3,1,5,3,2,5,4,5,5,0,0.0
98009,Female,Loyal Customer,58,Business travel,Business,2390,2,2,2,2,4,4,4,4,5,5,4,4,3,4,183,185.0
109463,Male,Loyal Customer,55,Business travel,Business,2819,2,2,2,2,2,4,5,5,5,5,5,3,5,4,4,0.0
72822,Male,Loyal Customer,22,Business travel,Business,1013,2,3,3,3,2,2,2,2,1,5,3,1,3,2,0,0.0
10483,Female,Loyal Customer,54,Business travel,Business,3513,3,3,3,3,2,4,5,4,4,4,4,4,4,5,0,0.0
59012,Female,Loyal Customer,35,Business travel,Eco,1744,2,3,3,3,2,2,2,2,1,4,4,1,3,2,5,10.0
15786,Female,Loyal Customer,42,Personal Travel,Eco,198,1,4,1,4,4,4,5,4,4,1,4,3,4,3,0,0.0
66875,Male,Loyal Customer,49,Business travel,Business,2727,2,2,2,2,3,5,5,4,4,4,4,4,4,4,0,0.0
104443,Female,Loyal Customer,58,Business travel,Business,2204,3,3,3,3,2,5,4,4,4,4,4,3,4,5,0,1.0
83840,Female,disloyal Customer,39,Business travel,Eco,448,2,4,2,3,5,2,5,5,4,3,3,3,4,5,29,27.0
10007,Female,Loyal Customer,16,Personal Travel,Eco,534,2,4,3,3,4,3,3,4,3,5,4,4,4,4,6,51.0
67365,Female,Loyal Customer,26,Business travel,Business,1516,3,3,3,3,5,5,5,5,4,4,5,3,4,5,0,0.0
8814,Female,Loyal Customer,36,Personal Travel,Eco,522,2,4,2,1,2,2,2,2,4,2,5,4,4,2,0,0.0
3731,Female,Loyal Customer,32,Personal Travel,Eco,431,3,5,3,2,2,3,4,2,1,3,4,4,1,2,71,95.0
93961,Male,Loyal Customer,25,Personal Travel,Eco Plus,507,1,5,1,1,5,1,5,5,4,4,4,4,5,5,4,12.0
41138,Female,Loyal Customer,19,Personal Travel,Eco,191,1,5,1,5,5,1,5,5,5,3,5,5,5,5,1,1.0
39768,Female,disloyal Customer,22,Business travel,Business,521,4,0,4,1,5,4,5,5,5,1,1,3,3,5,0,0.0
87511,Male,Loyal Customer,47,Personal Travel,Eco,373,4,4,4,4,4,2,2,3,5,5,5,2,3,2,301,294.0
104033,Male,Loyal Customer,42,Business travel,Business,3685,4,4,4,4,4,5,4,4,4,4,4,5,4,4,0,0.0
112577,Female,Loyal Customer,26,Business travel,Business,2934,3,3,3,3,4,4,4,4,5,5,5,3,5,4,0,0.0
92046,Female,Loyal Customer,33,Business travel,Business,1589,1,1,1,1,5,5,5,5,5,4,5,3,5,3,0,0.0
39948,Female,Loyal Customer,20,Personal Travel,Eco,1195,2,4,2,3,3,2,3,3,4,5,5,4,5,3,0,0.0
83604,Male,Loyal Customer,44,Business travel,Business,3797,4,4,4,4,2,5,4,5,5,5,5,5,5,4,0,0.0
107388,Female,Loyal Customer,48,Business travel,Business,3360,5,1,5,5,5,5,5,4,4,4,4,3,4,3,0,0.0
93365,Female,Loyal Customer,40,Personal Travel,Eco,836,2,5,2,4,3,2,3,3,3,3,4,3,4,3,1,0.0
85197,Male,Loyal Customer,39,Business travel,Business,813,3,3,3,3,4,4,4,5,5,5,5,3,5,5,0,0.0
59675,Male,Loyal Customer,16,Personal Travel,Eco,787,2,4,2,3,3,2,3,3,3,4,4,3,3,3,15,26.0
14665,Male,Loyal Customer,41,Business travel,Business,2601,3,3,3,3,5,4,4,4,4,4,4,3,4,5,12,23.0
89729,Male,Loyal Customer,68,Personal Travel,Eco,1089,2,3,2,1,2,2,2,2,2,5,4,1,1,2,0,0.0
95216,Female,Loyal Customer,43,Personal Travel,Eco,293,4,3,4,3,1,4,3,4,4,4,4,1,4,1,0,0.0
23467,Female,disloyal Customer,34,Business travel,Eco,488,2,0,2,2,5,2,5,5,5,3,2,1,5,5,68,87.0
110669,Male,Loyal Customer,29,Business travel,Business,2283,3,4,4,4,3,3,3,3,3,1,1,4,2,3,44,37.0
125268,Male,Loyal Customer,24,Business travel,Business,1488,4,3,3,3,4,4,4,4,3,5,4,4,4,4,1,0.0
12772,Female,Loyal Customer,9,Personal Travel,Eco Plus,689,3,4,3,2,4,3,4,4,5,4,4,4,5,4,0,0.0
74603,Male,Loyal Customer,50,Business travel,Business,1877,2,4,4,4,5,4,4,2,2,2,2,1,2,4,0,0.0
63836,Female,Loyal Customer,30,Business travel,Business,1691,5,5,5,5,2,2,2,2,4,5,4,4,5,2,0,0.0
40416,Male,Loyal Customer,41,Business travel,Eco,290,4,1,1,1,4,4,4,4,2,3,1,1,4,4,0,0.0
88664,Male,Loyal Customer,51,Personal Travel,Eco,442,1,4,3,3,3,3,3,3,1,4,1,5,2,3,20,17.0
74123,Male,Loyal Customer,55,Business travel,Business,3713,5,5,5,5,3,4,4,3,3,3,3,5,3,5,71,116.0
71198,Male,Loyal Customer,56,Business travel,Business,733,5,5,5,5,5,5,5,4,4,4,4,3,4,5,21,9.0
27977,Male,Loyal Customer,30,Business travel,Business,2378,5,5,5,5,4,4,4,4,2,3,4,3,4,4,0,0.0
122036,Female,disloyal Customer,27,Business travel,Business,130,2,2,2,4,4,2,2,4,5,5,4,4,5,4,0,1.0
98441,Male,Loyal Customer,51,Business travel,Business,814,1,1,1,1,3,5,5,4,4,4,4,4,4,5,37,13.0
35180,Female,disloyal Customer,23,Business travel,Eco,1056,1,1,1,5,5,1,5,5,3,4,4,1,3,5,0,0.0
76274,Male,disloyal Customer,27,Business travel,Eco,774,3,4,4,3,2,3,2,2,3,3,4,3,3,2,0,0.0
113532,Male,disloyal Customer,29,Business travel,Eco,391,3,2,2,4,1,2,1,1,4,4,4,1,4,1,70,73.0
75087,Female,Loyal Customer,43,Personal Travel,Eco,1814,3,4,3,1,4,4,4,3,3,3,3,3,3,3,10,6.0
8420,Female,Loyal Customer,24,Business travel,Business,862,1,3,3,3,2,1,1,4,1,3,4,1,2,1,129,140.0
106361,Male,Loyal Customer,53,Business travel,Business,643,1,1,3,1,4,5,5,5,5,5,5,5,5,3,0,0.0
91266,Male,Loyal Customer,49,Personal Travel,Eco,545,2,4,2,4,2,2,2,2,2,5,4,5,4,2,0,2.0
40426,Female,Loyal Customer,52,Business travel,Business,3488,2,4,2,2,1,5,2,5,5,5,5,3,5,4,0,0.0
2587,Female,Loyal Customer,44,Personal Travel,Eco,227,2,4,2,1,5,5,3,4,4,2,4,1,4,5,19,24.0
118725,Male,Loyal Customer,61,Personal Travel,Eco,370,3,5,3,4,3,3,3,3,3,4,4,1,4,3,15,4.0
20954,Male,Loyal Customer,53,Business travel,Eco,689,2,4,4,4,2,2,2,2,3,3,3,3,3,2,0,9.0
158,Male,disloyal Customer,22,Business travel,Eco,227,1,4,1,3,2,1,2,2,3,2,3,3,4,2,0,0.0
82899,Female,Loyal Customer,62,Personal Travel,Eco,594,1,3,1,3,2,4,3,2,2,1,2,4,2,3,0,5.0
44862,Male,Loyal Customer,35,Personal Travel,Eco,693,2,5,2,2,3,2,3,3,3,2,4,3,4,3,18,27.0
73583,Female,Loyal Customer,52,Business travel,Business,3714,0,4,0,3,3,5,4,5,5,5,5,5,5,5,0,0.0
13303,Male,Loyal Customer,38,Personal Travel,Eco Plus,657,2,4,2,4,2,2,4,2,3,5,3,4,3,2,0,0.0
74978,Male,Loyal Customer,22,Personal Travel,Eco,2475,3,3,4,1,3,4,2,3,3,3,5,3,3,3,0,0.0
90515,Female,Loyal Customer,40,Business travel,Business,250,3,3,3,3,3,4,5,5,5,5,5,5,5,3,0,0.0
84110,Female,Loyal Customer,41,Business travel,Business,1900,1,1,1,1,3,4,5,4,4,4,4,5,4,3,0,0.0
86822,Male,Loyal Customer,50,Business travel,Business,2975,2,1,2,1,5,2,3,2,2,2,2,2,2,3,23,22.0
4935,Male,Loyal Customer,39,Business travel,Business,334,5,5,3,5,3,4,4,3,3,4,3,4,3,5,0,0.0
5319,Female,Loyal Customer,56,Personal Travel,Eco Plus,295,2,5,2,2,3,4,4,2,2,2,2,4,2,4,0,0.0
83160,Male,Loyal Customer,47,Business travel,Business,3776,1,1,1,1,2,5,5,5,5,5,5,4,5,3,0,0.0
89840,Female,Loyal Customer,48,Business travel,Business,2532,5,5,3,5,5,5,5,4,4,4,4,4,4,4,0,0.0
118785,Male,Loyal Customer,66,Personal Travel,Eco,621,3,1,3,2,5,3,5,5,3,4,3,2,3,5,23,33.0
33234,Female,disloyal Customer,27,Business travel,Eco Plus,101,3,3,3,3,1,3,1,1,2,1,2,2,4,1,0,0.0
54733,Male,Loyal Customer,33,Personal Travel,Eco,854,4,4,4,5,3,4,3,3,3,2,4,4,4,3,6,0.0
85733,Female,disloyal Customer,24,Business travel,Eco,666,1,0,1,3,5,1,5,5,3,4,5,4,5,5,4,0.0
41979,Male,Loyal Customer,22,Personal Travel,Eco,575,4,1,4,4,5,4,5,5,4,1,4,4,4,5,0,0.0
91389,Female,Loyal Customer,39,Business travel,Business,2218,3,3,3,3,3,3,5,5,5,5,5,5,5,4,0,0.0
17833,Male,Loyal Customer,32,Business travel,Eco Plus,931,3,4,4,4,3,3,3,3,4,1,3,1,4,3,0,0.0
8145,Female,Loyal Customer,57,Business travel,Business,2607,1,1,1,1,4,5,4,4,4,4,4,4,4,5,0,0.0
125147,Male,Loyal Customer,12,Business travel,Business,1999,2,5,5,5,2,2,2,2,1,2,4,4,3,2,0,0.0
77436,Male,Loyal Customer,18,Business travel,Eco Plus,588,2,2,2,2,2,2,2,2,3,5,3,3,3,2,0,0.0
98585,Female,disloyal Customer,39,Business travel,Business,861,1,1,1,1,2,1,2,2,5,5,4,5,5,2,16,12.0
118131,Male,disloyal Customer,46,Business travel,Business,1488,2,2,2,5,1,2,3,1,5,3,4,5,5,1,2,0.0
